template-construction,allele-decision,no-match-fallback,output-packing,mutate-fill,seed,historical-combine-occupants,historical-dynamic-occupants,explored-status,terminal-rule-diversity,phenotype-activity-last-third,death-step,trajectory-sha256
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,2,0.0,50,ad35a715c91c53ff95c5b5319709df9e0be7180b4095e5b7d647361af7c35556
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,22,0.4290625,120,5d190007e0e3e9e35d4096d892bf8e3caa974ec84529ff9dbb76b2973edd3322
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,33,0.2028125,120,27367dadca21360e828c27c78011ddef9fecc346ea53d51a3e44bcec44b62f89
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,31,0.38499999999999995,120,d196c1e6d412b7836a0cbe766b554100b5d713776b4fb14934028f969b09e2f1
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,1,0.0,6,b2eabc39b8860ee5f21040ca10bc32787c57272a71f639f291be4e25e05cf4a3
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,1,0.0,10,55f876801453a60fdb99ffc3ef0ccd4f35a86523aac4dd4f17e58437ca3bf0e1
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,1,0.0,9,c7466650a9e68b552347f71325c39741ec44e8362bff642cbc7ecca1e833c30c
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,17,0.37312500000000004,120,759dd802c8f718bed251f6493742988f45abee9b5fa6eaa4787099592d44a32a
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,17,0.3540625,120,6a1fa321e7fbb0d92626e84e483f462e24a7ca5dc7d516c162f3446663736083
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,16,0.3571875,120,1f237dfa86e44d1a9cd23109d6d81995527c9b089a64fc13b42922fe10e51b02
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,17,0.210625,120,93a7ff150c2db91018af8f107a10473baa4500589e17523dcb221ccfef928f0e
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,20,0.24624999999999994,120,3c103f05f1fa1184e71ebce924f3cecf5979c15eb163d0604201f1bf126c6d46
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,14,0.2165625,120,408e9e8d7e333b33a0bac3d6b3b4751de8003b36664229aceba0d9b93d0b8432
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,27,0.060625,120,4abb7fc78dac76bb39edf71d46cce85d05439fd7bef3b0ce1d61fb228db73a9f
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,7,0.0,9,d8472a9817614fc40922e4713f3a4aef6ea539897e385bc981bdb1a72ceda606
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,13,0.025312499999999998,120,001a69f6b07a037297676eb012b3d78b0bc358e6cbef9222d658d2a0d1390316
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,4,0.0,52,142ac5893afcd778b590ba0b38dd145af5baa1839b2873180574a439757bd62b
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,3,0.0,77,7d13726e0edfd6c6aacaa03c7e63e06febd0bf7cb1dd0c784256c96a171097c1
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,3,0.0015625,87,63acac3d396e5fc9015d82976be0fd84791f283e3db7bd892f1e8147e4bd16ff
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,33,0.263125,120,0766a38e5d2461bf40835b4c4048744312e69086dd871dc378d507fb75ba307a
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,30,0.26375000000000004,120,c279beafab6955f78b25f9dd05524b428ac4277a84b7fb74a08aea640ee299bd
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,25,0.22437500000000005,120,17b96e79f1e4543532a1e766346dc854642c38a472b8335cdcdc53d6fe6b05ed
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,1,0.0,6,b2eabc39b8860ee5f21040ca10bc32787c57272a71f639f291be4e25e05cf4a3
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,1,0.0,10,55f876801453a60fdb99ffc3ef0ccd4f35a86523aac4dd4f17e58437ca3bf0e1
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,1,0.0,9,c7466650a9e68b552347f71325c39741ec44e8362bff642cbc7ecca1e833c30c
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,17,0.37312500000000004,120,759dd802c8f718bed251f6493742988f45abee9b5fa6eaa4787099592d44a32a
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,17,0.3540625,120,6a1fa321e7fbb0d92626e84e483f462e24a7ca5dc7d516c162f3446663736083
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,16,0.3571875,120,1f237dfa86e44d1a9cd23109d6d81995527c9b089a64fc13b42922fe10e51b02
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,17,0.210625,120,93a7ff150c2db91018af8f107a10473baa4500589e17523dcb221ccfef928f0e
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,20,0.24624999999999994,120,3c103f05f1fa1184e71ebce924f3cecf5979c15eb163d0604201f1bf126c6d46
context-quadruple-candidates-filtered-toward-balance,all-three-zero-or-one-neighbors-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,14,0.2165625,120,408e9e8d7e333b33a0bac3d6b3b4751de8003b36664229aceba0d9b93d0b8432
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,10,0.025000000000000012,120,02d0eb2e4094cf9f27c8efe785f317c90dc9669b6cf557ece1a73976368aa264
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,17,0.0625,120,a1c4225378be56bcf7739d669376a9864ff579c0cb08d0160caca77843b65a63
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,27,0.159375,120,376c0918ee554df6927056da8af992ea3c87b62a0860c9348d5ef68edd879642
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,12,0.5009375,120,3b70056543a91a043487a060978bf108fd076bcfffd499b6dc66f94487a34714
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,29,0.4703125000000001,120,bab3abe2772f27ec1ac909b4e5fa02545b2ef52bb5e5d24e4ea4adaf542dbb91
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,23,0.4499999999999999,120,3162742fe6a53ae5d4596c84cf404dbf3fefbc39a3e9d92364837286db46a32c
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,23,0.4031249999999999,120,ae23bad6c022444ca82a6bcacf7534f8cb70d683911e7f078d0fe09d5670e141
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,17,0.5021875,120,174734fd2d0129d6f807e8daddd457a174408877cc5181f76ee3941ae5d3e991
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,10,0.5859375000000001,120,a0a6e3183ba3e4d65c639a764de1168e9e3c05fe17d983f2ced948fd356d6e76
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,67,0.5650000000000001,120,cb173e32444cf446c9f2fca0297347339949bfdcbac72aeea15acb10e7c0476c
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,54,0.5490625000000002,120,15004608112faaa4f66ecc69ae2bf031142f4b794cd026e92fd36aa1b7dd53e7
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,55,0.5499999999999999,120,649d0e83817aac88a807baa17a70cd8b25d83a283c02e65148bd11a098488ef4
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,33,0.5084374999999998,120,70969eb2d31461204a32827e175a93cfb1368e248c2dda0b9cd00633fd620122
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,27,0.5059375000000002,120,33ac2e02d39d383b42da184addfce90034bd634314e493fe7df44b4c8d24773e
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,33,0.5000000000000002,120,c1641f2e770f8969640c4613e065b195ed40d59bf6830e1ed9beb2cf72accf30
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,19,0.5009375,120,9d4606e327b4d49b93d4613f347c03e20fd84cb4485d82c0daf9176e014dce56
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,21,0.505,120,b5ffd8bb0fac90d9bea925177e5874df27f8cca15608c1b400ae1e14496fb420
context-quadruple-candidates-filtered-toward-balance,neighbor-agreement-optionally-flipped-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,16,0.4984375000000001,120,f4552d3179be322c431152b85abb093f870d866c9e13110eb10aae75851626c8
